% sensor	int_min	int_max	ocu_min	ocu_max	car_min	car_max	vel_min	vel_max
182	0	1520	0	1131	0	100	0	95
183	0	4464	0	3588	0	100	0	123
184	0	1856	0	832	0	68	0	100
185	0	1576	0	691	0	100	0	106
186	0	1792	0	1024	0	99	0	87
187	0	3000	0	1752	0	100	0	116
188	0	5869	0	4532	0	99	0	97
189	0	1199	0	1004	0	72	0	62
190	0	1192	0	988	0	71	0	61
191	0	2060	0	1607	0	100	0	110
192	0	1653	0	684	0	100	0	90
193	0	632	0	320	0	81	0	76
194	0	2380	0	2312	0	96	0	91
195	0	1464	0	1152	0	100	0	89
196	0	2619	0	1668	0	97	0	108
197	0	723	0	536	0	99	0	79
198	0	5324	0	2676	0	98	0	112
199	0	3962	0	3096	0	100	0	89
200	0	2756	0	2528	0	91	0	91
201	0	1084	0	716	0	92	0	91
202	0	2981	0	1848	0	85	0	113
203	0	4765	0	3617	0	100	0	107
204	0	2925	0	1484	0	89	0	92
205	0	1445	0	628	0	79	0	81
206	0	3028	0	1472	0	61	0	75
207	0	1388	0	724	0	82	0	70
208	0	2960	0	2192	0	63	0	65
209	0	4072	0	2908	0	100	0	76
210	0	4605	0	3468	0	93	0	98
211	0	4080	0	2672	0	100	0	90
212	0	2701	0	1884	0	78	0	235
213	0	5611	0	2884	0	100	0	75
214	0	2004	0	1028	0	95	0	63
215	0	5024	0	1720	0	92	0	79
216	0	292	0	232	0	40	0	43
217	0	780	0	640	0	82	0	71
218	0	4452	0	2928	0	94	0	78
219	0	3676	0	2479	0	98	0	98
220	0	1591	0	595	0	91	0	76
221	0	3781	0	2508	0	98	0	107
222	0	1965	0	824	0	61	0	90
223	0	2864	0	1072	0	99	0	85
224	0	1705	0	1271	0	98	0	101
225	0	4975	0	2656	0	72	0	109
226	0	1608	0	1183	0	90	0	89
227	0	2904	0	1011	0	83	0	98
228	0	3173	0	1948	0	100	0	100
229	0	2639	0	1204	0	65	0	86
230	0	3468	0	1736	0	85	0	101
231	0	2156	0	1119	0	100	0	90
232	0	3352	0	1740	0	100	0	95
233	0	1600	0	968	0	100	0	85
234	0	4451	0	1817	0	100	0	105
235	0	3244	0	2444	0	100	0	73
236	0	753	0	328	0	100	0	57
237	0	3664	0	3017	0	100	0	109
238	0	1440	0	1128	0	83	0	84
239	0	1620	0	1108	0	97	0	70
