Instante	APCP	CAPE	CONVfrac	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
55	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
56	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
57	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
58	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
59	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
60	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
61	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
62	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
63	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
64	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
65	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
66	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
67	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
68	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
69	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
70	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
71	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
72	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
73	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
74	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
75	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
76	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
77	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
78	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
79	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
80	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
81	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
82	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
83	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
84	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
85	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
86	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
87	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
88	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
89	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
90	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
91	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
92	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
93	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
94	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
95	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
96	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
97	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
98	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
99	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
100	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
101	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
102	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
103	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
104	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
105	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
106	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
107	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
108	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
109	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
110	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
111	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147747	0.148507	0.148548	0.148007	0.148535
112	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
113	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
114	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
115	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
116	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
117	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
118	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
119	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
120	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
121	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
122	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
123	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
124	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
125	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
126	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147746	0.148507	0.148548	0.148007	0.148535
