Instante	APCP	CAPE	CONV	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
55	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
56	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
57	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
58	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
59	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
60	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
61	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
62	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
63	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
64	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
65	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
66	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
67	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
68	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
69	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
70	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
71	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
72	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
73	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
74	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
75	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
