% valor	NoC_0	NoC_1	NoC_2	NoC_3
124	0	0	0	33
125	0	0	0	19
126	0	0	0	25
127	0	0	0	17
128	0	0	0	34
129	0	0	0	22
130	0	0	0	27
131	0	0	0	19
132	0	0	0	20
133	0	0	0	14
134	0	0	0	17
135	0	0	0	25
136	0	0	0	21
137	0	0	0	19
138	0	0	0	17
139	0	0	0	16
140	0	0	0	17
141	0	0	0	15
142	0	0	0	17
143	0	0	0	19
144	0	0	0	10
145	0	0	0	9
146	0	0	0	13
147	0	0	0	7
148	0	0	0	12
149	0	0	0	13
150	0	0	0	7
151	0	0	0	7
152	0	0	0	6
153	0	0	0	8
154	0	0	0	8
155	0	0	0	5
156	0	0	0	11
157	0	0	0	6
158	0	0	0	6
159	0	0	0	7
160	0	0	0	6
161	0	0	0	9
162	0	0	0	6
163	0	0	0	3
164	0	0	0	4
165	0	0	0	2
166	0	0	0	3
167	0	0	0	1
168	0	0	0	2
169	0	0	0	2
170	0	0	0	2
171	0	0	0	1
172	0	0	0	2
173	0	0	0	2
174	0	0	0	0
175	0	0	0	4
176	0	0	0	2
177	0	0	0	3
178	0	0	0	2
179	0	0	0	1
180	0	0	0	2
181	0	0	0	3
182	0	0	0	0
183	0	0	0	1
184	0	0	0	2
185	0	0	0	0
186	0	0	0	0
187	0	0	0	1
188	0	0	0	0
189	0	0	0	1
190	0	0	0	0
191	0	0	0	0
192	0	0	0	1
193	0	0	0	0
194	0	0	0	0
