-1000000	10536
-900000	7045
-800000	1785
-700000	5297
-600000	3549
-500000	3554
-400000	3557
-399999	2
-300000	3585
-299999	6
-200000	3558
-199999	8
-100000	5305
-99999	62
0	3441489
1	989789
2	6684
100002	2228
200002	557
300001	1671
400001	1114
500001	1114
600001	1114
700001	1114
800000	1114
900000	1671
1000000	978092
