dataset	STAI	TC L1	TC L2	TC L5	TC L10
APCP	0.9792	0.652	0.483	0.262	0.126
CAPE	0.9093	0.954	0.854	0.539	0.271
CONV	0.9649	0.646	0.468	0.213	0.081
DLWRF	0.9422	0.967	0.933	0.802	0.599
DSWRF	0.9773	0.943	0.797	0.126	-0.450
PEVAP	0.9609	0.894	0.788	0.321	-0.223
PRES	0.9760	0.995	0.982	0.933	0.832
SPFH	0.9727	0.887	0.804	0.620	0.438
TMP	0.9392	0.991	0.966	0.833	0.615
UGRD	0.9961	0.988	0.959	0.828	0.601
VGRD	0.9997	0.989	0.963	0.841	0.614
