id	len	min	max	mean	sd
507	250734	-318407.96875	318329.96875	-9.517579078674316	6911.00146484375
508	244934	-318407.96875	318301.09375	-6.688995838165283	7012.724609375
509	253454	-318407.96875	318400.71875	-18.163692474365234	5137.33837890625
510	263834	-318407.96875	318400.71875	-9.175734519958496	5032.1123046875
511	245274	-318407.96875	317805.84375	-21.189123153686523	7080.9140625
512	262994	-318407.96875	318400.71875	-10.518362045288086	5122.75
513	249234	-318407.96875	317805.84375	-6.502455711364746	6980.6396484375
514	247574	-318407.96875	317805.84375	-6.508307456970215	7050.1982421875
515	249934	-318407.96875	318045.125	-14.888181686401367	6992.2275390625
516	249874	-318407.96875	317805.84375	-2.8091635704040527	6991.1298828125
517	262934	-318407.96875	317805.84375	-25.225345611572266	6839.90283203125
518	262810	-318407.96875	318400.71875	94.96541595458984	6994.7744140625
519	268274	-318407.96875	318400.71875	-30.945819854736328	5072.13916015625
520	251934	-318407.96875	318108.46875	-60.67609405517578	5960.28662109375
521	255390	-318407.96875	317834.65625	94.89105987548828	8421.1171875
522	215744	-318407.96875	318400.71875	-9.871809005737305	5632.61865234375
523	251194	-318407.96875	318400.71875	-10.819783210754395	5247.38330078125
524	252014	-318407.96875	318400.71875	-2.4403867721557617	5233.23828125
525	246934	-318407.96875	318400.71875	-1.908844232559204	5285.13427734375
526	251274	-318407.96875	318339.0625	-14.39423942565918	6994.73681640625
527	245144	-318407.96875	318405.375	-7.69896125793457	7497.263671875
528	246874	-318407.96875	318400.71875	0.5222147107124329	5282.6220703125
529	256814	-318407.96875	318108.46875	-50.751949310302734	5912.26171875
530	232420	-997.5804443359375	832.12890625	-24.873193740844727	30.329816818237305
531	256320	-950.8424072265625	509.5817565917969	-20.841630935668945	22.454702377319336
532	248154	-318407.96875	318400.71875	-17.7568359375	5274.263671875
533	245854	-318407.9375	318400.6875	-20.89060401916504	5188.27978515625
534	246634	-318407.96875	318108.46875	-60.120140075683594	6032.349609375
