id	len	min	max	mean	sd
584	246735	-318407.96875	318400.71875	-16.108854293823242	5283.232421875
585	245060	-1065.7041015625	1372.579833984375	4.132296085357666	74.80530548095703
586	232147	-318407.96875	318301.09375	59.57768630981445	8003.88623046875
587	247055	-318407.96875	317805.84375	5.594325065612793	7040.1826171875
588	289886	-318407.96875	318400.71875	99.76380920410156	6631.71337890625
589	246975	-318407.96875	318301.09375	-15.277122497558594	7023.27294921875
590	248920	-449.75250244140625	572.3721313476562	1.6929125785827637	50.128658294677734
591	250735	-318407.96875	317805.84375	-5.194665908813477	6968.95654296875
592	251040	-446.4115295410156	787.4544677734375	-6.399283409118652	50.86143112182617
593	247520	-487.9598083496094	504.80316162109375	-5.511519908905029	45.970863342285156
594	247855	-318407.96875	317805.84375	-8.663877487182617	7026.779296875
595	247555	-318407.96875	318108.46875	-43.78594207763672	6018.041015625
596	246635	-318407.96875	317805.84375	6.359545707702637	7025.677734375
597	283820	-776.7933959960938	1222.0460205078125	-10.12908935546875	47.45372009277344
598	227180	-855.7053833007812	877.4232177734375	-6.513409614562988	28.782751083374023
599	253235	-318407.96875	317805.84375	32.89100646972656	6953.91943359375
600	255446	-318407.96875	318400.71875	104.6901626586914	8782.3818359375
601	246940	-949.3515014648438	825.919189453125	-34.04159927368164	29.602054595947266
602	245995	-318407.96875	317551.25	104.4553451538086	4905.1494140625
603	253520	-514.8987426757812	510.0248107910156	2.4967310428619385	24.825424194335938
604	248755	-318407.96875	317805.84375	6.481466770172119	6998.71630859375
605	251360	-825.4524536132812	1303.2357177734375	-24.60332679748535	39.205902099609375
606	247710	-318407.96875	318400.71875	-3.7615914344787598	7442.88720703125
607	244780	-1010.8387451171875	1259.65966796875	-4.047035217285156	42.94843673706055
608	248480	-1238.371826171875	1391.766845703125	-32.181068420410156	32.702606201171875
609	252860	-1046.722412109375	1162.1678466796875	8.799798011779785	41.37522888183594
610	245920	-768.0780639648438	504.45947265625	-12.285198211669922	28.40775489807129
611	247980	-1046.78076171875	1220.07080078125	-15.895659446716309	50.20848083496094
612	277160	-1089.8104248046875	1283.629638671875	-1.6393262147903442	53.8753776550293
613	116692	-318407.96875	317805.84375	0.26518121361732483	10117.1923828125
614	250895	-318407.96875	318106.75	122.96296691894531	4855.69091796875
615	241660	-589.2431030273438	1259.42822265625	-11.596176147460938	37.066558837890625
616	274160	-1098.468017578125	1222.17724609375	-30.335668563842773	41.68356704711914
617	228060	-416.6004333496094	1234.8988037109375	1.135992169380188	26.105274200439453
618	247540	-890.630126953125	1131.644287109375	1.3099534511566162	40.11273193359375
619	254895	-318407.96875	318108.46875	-39.22031784057617	5932.36669921875
620	246460	-802.5996704101562	704.1607055664062	5.390854358673096	32.77745819091797
621	251320	-1050.276611328125	1267.410400390625	-20.317564010620117	117.4783706665039
622	249760	-1127.194580078125	1264.178955078125	-10.706878662109375	53.00258255004883
623	269035	-318407.96875	318067.875	-19.651960372924805	6722.37451171875
624	237980	-947.4094848632812	1302.138671875	-0.011007140390574932	32.37582778930664
625	251900	-768.4755859375	1010.3222045898438	7.889819145202637	39.048675537109375
626	250160	-677.826416015625	626.6348876953125	-6.215218544006348	31.598905563354492
627	257760	-1075.7198486328125	1302.5849609375	-30.7960262298584	71.09091186523438
628	290020	-1047.27294921875	1303.5487060546875	-32.019405364990234	46.725738525390625
