EEG	Lag_1	Lag_2	Lag_5	Lag_10	STAIcol	STAIrow	STAIquad	sd
548	-0.0650	-0.1790	-0.1120	0.0710	-0.0468	0.2805	0.1663	6914.06
555	-0.0660	-0.1800	-0.1110	0.0730	-0.0569	0.2221	0.0847	6937.42
599	-0.0660	-0.1790	-0.1100	0.0740	-0.0206	0.0754	0.0243	6953.92
591	-0.0650	-0.1800	-0.1110	0.0740	-0.0372	0.2547	0.2260	6968.96
513	-0.0660	-0.1790	-0.1120	0.0710	-0.0841	0.3129	0.1468	6980.64
516	-0.0660	-0.1770	-0.1110	0.0730	-0.0589	0.1504	0.1338	6991.13
515	-0.0660	-0.1770	-0.1110	0.0720	0.0050	0.0446	0.1145	6992.23
564	-0.0660	-0.1790	-0.1110	0.0750	-0.0568	0.4117	0.2131	6993.32
526	-0.0650	-0.1750	-0.1100	0.0740	0.0095	-0.0067	0.0682	6994.74
518	0.2570	0.1280	0.0250	0.5600	0.0279	0.1764	0.0679	6994.77
604	-0.0650	-0.1810	-0.1110	0.0720	-0.0867	0.3030	0.2058	6998.72
565	-0.0660	-0.1790	-0.1110	0.0740	-0.0369	0.0439	0.0531	7008.42
508	-0.0660	-0.1820	-0.1130	0.0680	-0.0951	0.3699	0.2238	7012.72
589	-0.0660	-0.1810	-0.1120	0.0720	-0.0290	0.0527	0.0791	7023.27
596	-0.0660	-0.1810	-0.1120	0.0720	-0.0792	0.5145	0.3298	7025.68
594	-0.0670	-0.1790	-0.1110	0.0740	-0.0094	0.2134	0.0602	7026.78
587	-0.0660	-0.1790	-0.1110	0.0730	0.0020	0.0792	0.0580	7040.18
514	-0.0650	-0.1750	-0.1100	0.0740	-0.0510	0.1479	0.1158	7050.20
559	-0.0660	-0.1790	-0.1100	0.0750	-0.0360	0.1417	0.0456	7052.26
549	-0.0660	-0.1770	-0.1110	0.0720	-0.0088	0.3722	0.3171	7077.93
511	-0.0650	-0.1750	-0.1100	0.0730	-0.0128	0.1796	0.1335	7080.91
567	-0.0650	-0.1790	-0.1110	0.0740	-0.0066	0.0345	0.0190	7096.70
546	-0.0660	-0.1750	-0.1100	0.0750	-0.0775	0.3269	0.1244	7110.95
562	-0.0660	-0.1790	-0.1100	0.0730	-0.0306	-0.0148	0.0344	7125.11
566	0.2590	0.1290	0.0260	0.5620	0.0017	0.0254	0.0152	7136.45
578	0.2560	0.1290	0.0250	0.5600	0.0146	0.1470	0.1074	7143.10
569	0.2580	0.1290	0.0250	0.5620	-0.0293	0.0014	0.0228	7143.55
547	0.2560	0.1290	0.0250	0.5600	-0.0012	0.0136	0.0143	7182.82
606	0.0110	0.0300	-0.0060	0.4030	-0.0639	0.1792	0.1354	7442.89
527	0.0100	0.0310	-0.0060	0.4020	-0.0896	0.3751	0.1556	7497.26
586	0.2600	0.1050	0.0290	0.5450	0.0035	0.0665	0.0213	8003.89
563	0.0440	0.0200	0.0020	0.4070	-0.0530	0.2950	0.1535	8137.45
581	-0.0380	-0.1060	-0.0740	0.1890	-0.0148	0.0249	0.0431	8403.90
521	0.1350	-0.0390	-0.0550	0.2910	-0.0672	0.1105	0.1776	8421.12
561	-0.0390	-0.1030	-0.0730	0.1920	-0.0171	0.0194	0.1331	8751.64
574	0.1770	0.0960	0.0140	0.5110	-0.0086	0.0959	0.0345	8781.63
600	0.1700	0.0940	0.0150	0.5050	-0.0113	0.1244	0.0533	8782.38
539	0.0490	0.0200	0.0020	0.4150	0.0035	0.0075	0.0137	9585.90
560	0.1880	0.0700	0.0210	0.4940	-0.0428	0.1187	0.0979	9935.34
573	0.4000	0.1860	0.0420	0.6560	-0.0802	0.2188	0.1376	10080.51
613	-0.0650	-0.1830	-0.1140	0.0750	-0.0629	0.2912	0.1721	10117.19
570	0.1150	-0.0240	-0.0350	0.3350	-0.0185	-0.0001	0.0237	10361.99
577	0.0930	-0.0130	-0.0290	0.3490	-0.0082	0.0316	0.0364	11186.48
538	0.3470	0.1640	0.0350	0.6170	-0.0119	-0.0024	0.0066	12175.47
535	0.2590	0.1050	0.0290	0.5440	0.0021	0.0396	0.0809	1554226.88
540	0.2680	0.1080	0.0300	0.5520	0.0121	-0.0177	-0.0625	1605167.25
