% valor	NoC_0	NoC_1	NoC_2
95	62347	9	69295
96	51985	6	59212
97	43837	7	50809
98	35390	3	43776
99	28677	1	37636
100	23009	3	32343
101	19582	1	27673
102	16460	0	23161
103	13130	3	19395
104	9606	2	16416
105	6642	1	13199
106	4416	1	10821
107	2955	1	8685
108	1906	0	7030
109	1361	0	5847
110	845	0	4789
111	570	0	3968
112	363	1	3405
113	235	0	2938
114	157	0	2385
115	101	0	2118
116	61	0	1681
117	49	0	1470
118	24	0	1235
119	22	0	1042
120	19	0	894
121	20	0	752
122	14	0	598
123	18	0	549
124	19	1	443
125	28	0	411
126	16	0	319
127	15	0	259
128	16	0	200
129	7	0	200
130	18	0	159
131	17	0	120
132	14	0	119
133	13	0	107
134	16	0	95
135	22	0	72
136	10	0	65
137	15	0	47
138	14	0	52
139	6	0	48
140	6	0	41
141	7	0	32
142	3	0	32
143	5	0	22
144	3	0	28
145	1	0	24
146	2	0	19
147	1	0	17
148	1	0	13
149	0	0	11
